"","ID","Valence","Arousal","Tendency_Approach","V.H","Description","Category_Valence","Category_Arousal"
"145","Objects_004_h",3.0455,6.4688,3.8923,"h","Crashed Car","Negative","Aroused"
"146","People_023_h",3.0588,7.3333,4.0196,"h","Accident","Negative","Aroused"
"147","People_086_h",3.0612,7.0208,3.6,"h","Soldier","Negative","Aroused"
"148","Animals_207_h",3.0625,6.6875,2.5833,"h","Dog'S Teeth","Negative","Aroused"
"149","Faces_146_h",3.0682,6.4186,3.2,"h","Sick Man","Negative","Aroused"
"150","Landscapes_118_v",3.08,6.6863,3.84,"v","Burning Fields","Negative","Aroused"
"151","Faces_291_h",3.0816,6.8,3.6939,"h","Police Arresting Someone","Negative","Aroused"
"152","Landscapes_004_h",3.0952,5.7538,3.1587,"h","Polluted Water","Negative","Aroused"
"153","Animals_029_v",3.0962,6.1346,3.5769,"v","Horse Legs","Negative","Aroused"
"154","Faces_294_h",3.098,6.0588,3.7255,"h","Wounded Man","Negative","Aroused"
"155","Faces_003_h",3.1042,6.766,3.9388,"h","Children","Negative","Aroused"
"156","People_058_h",3.1064,6.5745,2.8936,"h","Butcher","Negative","Aroused"
"157","People_077_v",3.1111,6.7576,3.1231,"v","Injection","Negative","Aroused"
"158","Faces_013_h",3.1111,6.4219,3.5079,"h","Child In A Rescue Sled","Negative","Aroused"
"159","People_145_h",3.1111,5.7674,3.0667,"h","Homeless Man","Negative","Aroused"
"160","Faces_287_h",3.125,6.6458,3.9375,"h","Football Player","Negative","Aroused"
"161","Landscapes_005_h",3.1304,6.6596,4.1739,"h","Crashed Trains","Negative","Aroused"
"162","People_147_h",3.1304,6.2174,3.3111,"h","Patient","Negative","Aroused"
"163","Faces_151_v",3.14,6.06,3.5102,"v","Mutilated Face","Negative","Aroused"
"164","People_217_h",3.1429,6.3125,2.8163,"h","Surgery","Negative","Aroused"
"165","Landscapes_177_h",3.1489,7.0816,4.7292,"h","Fire","Negative","Aroused"
"166","People_007_h",3.1489,6.449,3.5745,"h","Car Crash","Negative","Aroused"
"167","Faces_303_h",3.1489,5.8913,3.5,"h","Beggar Woman","Negative","Aroused"
"168","People_012_h",3.1556,5.9111,4,"h","Crashed Plane","Negative","Aroused"
"169","People_085_h",3.1719,5.8281,3.6364,"h","Cigarette","Negative","Aroused"
"170","People_223_h",3.18,6.6078,2.66,"h","Surgery","Negative","Aroused"
"171","Faces_164_h",3.18,6.2745,4.52,"h","Crying Woman And Child","Negative","Aroused"
