ID,Category,Nr,V/H,Description,Valence,Valence_SD,AvAp,AvAp_SD,Arousal,Arousal_SD,Width,Height,Luminance,Contrast,JPEG_size80,LABL,LABA,LABB,Entropy,Category_Valence,Category_Arousal,Neutral,Negative,Positive,
Faces_347_h,Faces,347,h,People Smiling,7,1.2952,6.2344,1.8408,5.7385,1.6981,1600,1200,115.8931,72.5719,302736,47.7622,-0.6988,20.4244,7.9235,Positive,Aroused,0,0,0,
Faces_325_v,Faces,325,v,Man Smiling,7,1.3284,6.7115,1.4462,5,1.8471,1200,1600,113.1552,86.0473,243809,45.7024,4.7895,4.8304,7.7181,Positive,Neutral,0,0,0,
Animals_202_h,Animals,202,h,Cat,7,1.7728,7.0417,1.6753,4.92,2.098,1600,1200,144.2854,62.9568,258588,59.1381,0.5893,11.8009,7.8276,Positive,Neutral,0,0,0,
Objects_052_h,Objects,52,h,Meal,7,1.3248,6.9592,1.5133,4.9,2.0529,1600,1200,169.8431,57.1846,214820,69.1918,-1.5545,15.0768,7.6278,Positive,Neutral,0,0,0,
Objects_041_h,Objects,41,h,Cake,7,1.7321,6.6957,1.6175,4.7021,2.0099,1600,1200,132.9375,69.6773,395901,54.6574,5.6897,10.2987,7.9395,Positive,Neutral,0,0,0,
Faces_330_v,Faces,330,v,People Showering,7,1.2683,6.1064,1.4925,4.6809,1.4462,1200,1600,71.5767,41.7458,325837,30.0082,-0.4702,0.9357,7.2395,Positive,Neutral,0,0,0,
Objects_254_h,Objects,254,h,Handwork,7,1.3401,7.3,1.3132,4.66,2.1439,1600,1200,114.487,67.5921,611633,47.8839,5.6967,2.6923,7.9404,Positive,Neutral,0,0,0,
Landscapes_059_v,Landscapes,59,v,Bridge,7,1.6733,6.9615,1.5713,4.5098,2.327,1200,1600,91.5383,78.0054,563409,37.5206,1.6458,-0.9603,7.4949,Positive,Relaxed,0,0,1,
Faces_357_v,Faces,357,v,Cello Player,7,1.2524,6.963,1.3868,4.3704,1.7515,1200,1600,97.9067,70.8233,232430,40.3261,4.3433,3.8804,7.8008,Positive,Relaxed,0,0,1,
Faces_263_v,Faces,263,v,Woman Smiling,7,1.2649,6.5385,1.2121,4.2941,1.7122,1200,1600,69.3958,67.8791,320239,30.1091,12.6943,20.5896,7.3672,Positive,Relaxed,0,0,1,
Animals_149_v,Animals,149,v,Bird,7,1.2683,6.625,1.2312,4.2128,1.5027,1200,1600,143.658,65.1724,229533,59.7907,-19.2836,5.5479,7.3719,Positive,Relaxed,0,0,1,
Animals_170_h,Animals,170,h,Turtle,7,1.5,6.9592,1.3988,3.625,2.1794,1600,1200,109.0669,43.78,411874,47.5756,-9.4282,-9.0463,7.3959,Positive,Relaxed,0,0,1,
Landscapes_143_h,Landscapes,143,h,Flowers,7.0152,1.2829,7.0758,1.4391,3.9091,2.0209,1600,1200,100.7904,47.3254,279935,43.517,0.2312,35.2505,7.4775,Positive,Relaxed,0,0,1,
Landscapes_163_h,Landscapes,163,h,Desert,7.0156,1.4853,7.3231,1.4589,3.0154,2.0577,1600,1200,169.2971,58.2919,355657,68.9766,-3.0862,-10.3184,7.585,Positive,Relaxed,0,0,1,
Animals_206_h,Animals,206,h,Chinchilla,7.0196,1.4351,6.7647,1.5309,4.5102,1.8271,1600,1200,123.6255,56.7174,309545,51.999,11.0831,19.3153,7.6346,Positive,Relaxed,0,0,1,
Animals_109_h,Animals,109,h,Cat,7.02,1.3775,6.84,1.4049,4.5102,2.0013,1600,1200,111.2768,67.9194,413900,48.8451,21.4904,32.6632,7.8601,Positive,Relaxed,0,0,1,
Animals_116_h,Animals,116,h,Ladybug,7.0204,1.436,6.7551,1.5074,4.4286,1.9039,1600,1200,136.4873,75.7707,147133,56.3109,-8.263,11.8184,7.4398,Positive,Relaxed,0,0,1,
